Name,Disc. Date,Band,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch,File,Host Name
Adrian,2006-04-20,FUV,22h35m24.966s,-25d57m09.61s,2,0,2,-485,498,485,Adrian-FUV.fits.gz,1WGA J2235.3-2557
Adrian,2006-04-20,NUV,22h35m24.966s,-25d57m09.61s,2,0,2,-485,498,485,Adrian-NUV.fits.gz,1WGA J2235.3-2557
Aki,2006-06-19,FUV,22h16m01.077s,-17d37m22.09s,96,48,48,1023,795,42,Aki-FUV.fits.gz,CXO J221601.1-173722
Aki,2006-06-19,NUV,22h16m01.077s,-17d37m22.09s,109,55,54,1023,1190,42,Aki-NUV.fits.gz,CXO J221601.1-173722
ASASSN-13ch,2013-08-28,FUV,16h16m34.06s,-0d35m27.4s,1,1,0,3388,-3388,nan,ASASSN-13ch-FUV.fits.gz,CGCG 023-030
ASASSN-13ch,2013-08-28,NUV,16h16m34.06s,-0d35m27.4s,1,1,0,3388,-3388,nan,ASASSN-13ch-NUV.fits.gz,CGCG 023-030
ASASSN-13cj,2013-08-27,FUV,16h17m11.01s,4d33m14.7s,2,2,0,2604,-2235,nan,ASASSN-13cj-FUV.fits.gz,CGCG 051-075
ASASSN-13cj,2013-08-27,NUV,16h17m11.01s,4d33m14.7s,4,4,0,3022,-2235,nan,ASASSN-13cj-NUV.fits.gz,CGCG 051-075
ASASSN-13cp,2013-08-30,FUV,15h33m49.236s,21d08m21.87s,2,2,0,2599,-2598,nan,ASASSN-13cp-FUV.fits.gz,CGCG 136-015
ASASSN-13cp,2013-08-30,NUV,15h33m49.236s,21d08m21.87s,2,2,0,2599,-2598,nan,ASASSN-13cp-NUV.fits.gz,CGCG 136-015
ASASSN-13cu,2013-09-01,FUV,0h40m09.93s,-10d26m21.9s,2,2,0,2518,-2474,nan,ASASSN-13cu-FUV.fits.gz,PGC 2414
ASASSN-13cu,2013-09-01,NUV,0h40m09.93s,-10d26m21.9s,2,2,0,2518,-2474,nan,ASASSN-13cu-NUV.fits.gz,PGC 2414
ASASSN-13dd,2013-09-24,FUV,9h07m36.75s,3d23m39.7s,8,8,0,3541,-1701,nan,ASASSN-13dd-FUV.fits.gz,NGC 2765
ASASSN-13dd,2013-09-24,NUV,9h07m36.75s,3d23m39.7s,8,8,0,3541,-1701,nan,ASASSN-13dd-NUV.fits.gz,NGC 2765
ASASSN-14ad,2014-01-26,FUV,12h40m11.1s,18d03m32.8s,1,1,0,2500,-2500,nan,ASASSN-14ad-FUV.fits.gz,KUG 1237+183
ASASSN-14ad,2014-01-26,NUV,12h40m11.1s,18d03m32.8s,2,2,0,2500,-968,nan,ASASSN-14ad-NUV.fits.gz,KUG 1237+183
ASASSN-14ar,2014-04-24,FUV,9h09m41.7s,37d36m06.5s,1,1,0,2629,-2629,nan,ASASSN-14ar-FUV.fits.gz,IC 527
ASASSN-14ar,2014-04-24,NUV,9h09m41.7s,37d36m06.5s,1,1,0,2629,-2629,nan,ASASSN-14ar-NUV.fits.gz,IC 527
ASASSN-14ax,2014-05-04,FUV,17h10m00.7s,27d06m19.61s,1,1,0,2508,-2508,nan,ASASSN-14ax-FUV.fits.gz,SDSS J171000.70+270619.6
ASASSN-14ax,2014-05-04,NUV,17h10m00.7s,27d06m19.61s,1,1,0,2508,-2508,nan,ASASSN-14ax-NUV.fits.gz,SDSS J171000.70+270619.6
ASASSN-14ay,2014-05-19,FUV,15h57m03.15s,37d24m57.78s,2,2,0,2855,-2855,nan,ASASSN-14ay-FUV.fits.gz,SDSS J155702.70+372500.0
ASASSN-14ay,2014-05-19,NUV,15h57m03.15s,37d24m57.78s,2,2,0,2855,-2855,nan,ASASSN-14ay-NUV.fits.gz,SDSS J155702.70+372500.0
ASASSN-14ba,2014-05-19,FUV,10h21m31.9s,8d24m21.12s,6,6,0,3025,-2296,nan,ASASSN-14ba-FUV.fits.gz,SDSS J102131.91+082419.8
ASASSN-14ba,2014-05-19,NUV,10h21m31.9s,8d24m21.12s,11,11,0,3352,-2296,nan,ASASSN-14ba-NUV.fits.gz,SDSS J102131.91+082419.8
ASASSN-14bb,2014-05-19,FUV,12h14m11.3s,38d39m40.8s,1,1,0,2645,-2645,nan,ASASSN-14bb-FUV.fits.gz,2MASX J12141125+3839400
ASASSN-14bb,2014-05-19,NUV,12h14m11.3s,38d39m40.8s,1,1,0,2645,-2645,nan,ASASSN-14bb-NUV.fits.gz,2MASX J12141125+3839400
ASASSN-14bd,2014-05-20,FUV,12h52m44.8s,26d28m13s,7,7,0,3626,-1833,nan,ASASSN-14bd-FUV.fits.gz,IC 831
ASASSN-14bd,2014-05-20,NUV,12h52m44.8s,26d28m13s,11,11,0,3689,-1833,nan,ASASSN-14bd-NUV.fits.gz,IC 831
ASASSN-14bt,2014-05-27,FUV,10h19m19.96s,58d30m15.42s,1,1,0,3778,-3778,nan,ASASSN-14bt-FUV.fits.gz,UGC 5566
